ID,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,82,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867
2,67,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,158040
3,56,0.636,0.277,1,-14.185,1,0.0306,0.784,0,0.234,0.685,133.363,220573
4,77,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,173325
5,67,0.381,0.186,4,-15.477,1,0.029,0.613,2.75E-06,0.0694,0.142,65.058,201000
6,74,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69E-06,0.0784,0.647,106.186,258411
7,73,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34E-06,0.0824,0.294,130.388,241333
8,69,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,229227
9,38,0.505,0.189,2,-16.352,1,0.0363,0.785,0.00974,0.112,0.236,137.378,544667
10,77,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,272027
11,78,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23E-06,0.101,0.507,135.998,113000
12,66,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.499,213693
13,57,0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,407316
14,65,0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,250973
15,65,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,221840
16,70,0.846,0.772,11,-5.735,0,0.259,0.0123,0.000106,0.0769,0.622,125.998,204957
17,73,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,159227
18,73,0.667,0.599,0,-8.894,1,0.0291,0.245,0,0.107,0.971,127.935,160280
19,82,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24E-05,0.0842,0.714,119.001,294573
20,53,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149560
21,62,0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,238267
22,67,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,256933
23,68,0.874,0.714,7,-6.664,1,0.129,0.0155,0,0.0968,0.541,95.826,265600
24,62,0.608,0.864,8,-7.101,1,0.0522,0.0444,2.95E-06,0.0341,0.947,131.208,167960
25,47,0.523,0.284,9,-14.147,1,0.0379,0.524,8.96E-05,0.114,0.486,79.527,270800
26,49,0.632,0.928,1,-8.345,1,0.0604,0.0541,0.106,0.519,0.703,109.098,330933
27,70,0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,165790
28,58,0.517,0.246,9,-11.992,1,0.0308,0.788,0.00105,0.133,0.525,105.24,159760
29,70,0.678,0.631,11,-8.624,1,0.0301,0.355,0.000268,0.376,0.463,102.378,261560
30,75,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,269907
31,71,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81E-05,0.1,0.448,92.006,279333
32,63,0.705,0.7,0,-7.38,1,0.0295,0.0192,0,0.0755,0.765,122.841,258640
33,74,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600
34,79,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920
35,71,0.734,0.586,2,-11.866,1,0.129,0.125,0,0.0367,0.762,109.933,230467
36,79,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07E-06,0.101,0.862,116.047,248413
37,54,0.579,0.536,9,-10.035,0,0.0388,0.484,5.40E-05,0.0937,0.67,81.868,204320
38,61,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351
39,72,0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,205613
40,60,0.35,0.293,2,-9.502,1,0.0258,0.758,8.21E-06,0.104,0.162,96.685,166467
41,47,0.738,0.505,9,-12.211,0,0.227,0.0145,0,0.044,0.811,130.371,214107
42,66,0.629,0.364,11,-12.259,0,0.038,0.467,0.0204,0.0941,0.701,166.266,440467
43,67,0.615,0.616,6,-10.39,0,0.133,0.0399,0.000129,0.348,0.836,170.776,235000
44,83,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293
45,73,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.80E-06,0.122,0.235,111.968,265427
46,71,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640
47,65,0.722,0.605,5,-6.07,1,0.153,0.825,0.0178,0.248,0.709,165.998,196507
48,59,0.836,0.595,6,-9.338,1,0.201,0.141,0.00375,0.329,0.762,79.98,251000
49,82,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,295893
50,74,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,343150
51,49,0.482,0.662,7,-10.827,1,0.0326,0.289,0.0106,0.0972,0.544,106.757,330480
52,77,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120
53,47,0.738,0.369,1,-9.531,0,0.209,0.31,0.00706,0.366,0.342,132.093,345360
54,51,0.552,0.734,6,-7.126,0,0.0291,0.221,0,0.116,0.846,94.887,138286
55,54,0.282,0.938,5,-5.664,1,0.0808,0.0305,0.000161,0.25,0.741,154.385,420840
56,58,0.363,0.803,0,-8.089,1,0.06,0.0117,0.00601,0.189,0.718,156.047,266533
57,80,0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,193467
58,78,0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,229093
59,74,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,166920
60,66,0.525,0.3,5,-8.005,1,0.0286,0.578,8.30E-06,0.116,0.206,80.993,236627
61,80,0.609,0.444,7,-9.129,1,0.106,0.603,6.86E-06,0.104,0.166,118.402,228707
62,67,0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,278867
63,72,0.822,0.743,10,-4.772,0,0.28,0.016,0,0.127,0.636,84.459,242001
64,37,0.646,0.658,4,-6.429,1,0.0269,0.0537,0,0.0919,0.557,138.774,158280
65,79,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28E-06,0.108,0.66,120.021,193400
66,65,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840
67,60,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920
68,54,0.627,0.905,4,-9.921,0,0.037,0.0331,0.0199,0.255,0.644,113.247,241987
69,64,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,119360
70,41,0.715,0.576,7,-7.06,1,0.0696,0.562,0.000103,0.401,0.795,129.156,391400
71,61,0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,286693
72,79,0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,248440
73,81,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707
74,61,0.917,0.692,2,-11.665,1,0.244,0.185,1.09E-05,0.0686,0.819,111.782,235840
75,79,0.723,0.86,11,-4.357,1,0.203,0.271,4.56E-06,0.598,0.667,126.979,200013
76,64,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133
77,76,0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,304600
78,63,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97E-05,0.299,0.586,89.846,341533
79,55,0.763,0.541,9,-8.843,0,0.329,0.466,0,0.0693,0.885,90.032,217467
80,70,0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,408173
81,62,0.548,0.728,1,-6.631,0,0.0367,0.424,0,0.0525,0.649,112.332,160373
82,75,0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,243493
83,69,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,176333
84,82,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15E-05,0.0344,0.928,114.988,269667
85,76,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907
86,74,0.663,0.838,0,-5.744,0,0.0286,0.2,0.000177,0.0782,0.752,112.788,255133
87,48,0.386,0.711,2,-12.448,1,0.0361,0.00341,0.000118,0.084,0.771,160.193,188133
88,40,0.556,0.729,2,-10.282,1,0.0327,0.118,0.00338,0.259,0.558,115.093,365600
89,55,0.708,0.627,1,-11.155,1,0.0614,0.0113,3.13E-05,0.338,0.764,107.246,342360
90,56,0.661,0.66,7,-9.061,1,0.0373,0.0257,0.00977,0.256,0.814,120.617,188840
91,56,0.315,0.64,4,-9.256,0,0.0339,0.329,0.341,0.0879,0.583,97.968,317438
92,78,0.413,0.881,11,-5.541,0,0.0367,5.99E-05,0.000308,0.0805,0.364,158.066,250547
93,73,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85E-05,0.0996,0.371,136.243,221120
94,75,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48E-05,0.0924,0.338,118.223,547107
95,15,0.842,0.996,11,-3.168,0,0.278,0.411,7.77E-05,0.355,0.587,102.953,39200
96,72,0.681,0.504,7,-11.099,1,0.0284,0.669,0,0.142,0.705,89.994,172627
97,75,0.654,0.929,1,-5.906,1,0.0998,0.0468,0,0.0539,0.902,144.774,168840
98,63,0.825,0.811,10,-9.226,0,0.0524,0.258,0.000276,0.132,0.789,104.28,285253
99,75,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,254560
100,75,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613
101,46,0.47,0.728,7,-12.031,1,0.0942,0.117,0.000886,0.0426,0.641,121.346,617720
102,63,0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,400116
103,73,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16E-06,0.299,0.685,127.568,220627
104,48,0.795,0.824,4,-12.23,0,0.238,0.0668,0,0.0728,0.794,110.202,226173
105,60,0.557,0.32,1,-10.792,0,0.0438,0.739,3.99E-05,0.112,0.377,176.647,204533
106,54,0.915,0.807,6,-9.636,0,0.13,0.011,0.000122,0.201,0.708,127.35,319960
107,58,0.546,0.867,11,-4.235,0,0.0354,0.0256,0.000229,0.221,0.189,127.988,322040
108,42,0.85,0.66,3,-6.323,1,0.193,0.386,0.00235,0.0449,0.926,115.076,167187
109,82,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533
110,73,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77E-05,0.185,0.927,104.023,263387
111,79,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267
112,64,0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,185960
113,72,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,268867
114,53,0.429,0.914,7,-9.594,1,0.0505,0.0321,9.26E-05,0.436,0.685,155.588,221507
115,70,0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,241040
116,67,0.739,0.917,5,-4.459,1,0.0504,0.177,0.119,0.0834,0.749,110.163,325267
117,80,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390
118,82,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,326933
119,59,0.709,0.446,0,-9.904,1,0.037,0.716,2.39E-05,0.11,0.843,140.993,219267
120,45,0.488,0.714,9,-9.835,1,0.0432,2.43E-05,0.6,0.0672,0.726,157.604,235653
121,41,0.593,0.78,9,-6.281,1,0.0253,0.000125,0.000164,0.166,0.507,109.529,221173
122,61,0.838,0.304,4,-9.975,0,0.0626,0.16,0.0267,0.0828,0.221,112.618,430800
123,83,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973
124,61,0.476,0.764,9,-6.454,1,0.032,0.00325,0.112,0.138,0.545,171.903,448307
125,60,0.738,0.538,2,-10.118,1,0.0374,0.719,1.35E-05,0.0653,0.81,97.487,134453
126,58,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49E-05,0.137,0.92,121.795,157173
127,58,0.791,0.42,1,-13.289,0,0.0832,0.413,0.116,0.111,0.84,93.225,429372
128,78,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067
129,68,0.588,0.149,7,-16.728,0,0.0319,0.846,9.65E-05,0.236,0.113,124.689,332960
130,74,0.665,0.673,0,-7.95,1,0.0493,0.259,7.62E-06,0.497,0.779,132.642,322549
131,61,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,150960
132,70,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.40E-05,0.0858,0.69,127.224,225627
133,76,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,318587
134,70,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747
135,55,0.535,0.797,3,-7.533,1,0.0459,0.48,3.42E-05,0.141,0.613,148.835,140120
136,62,0.304,0.901,9,-7.756,1,0.0602,0.00105,0.000376,0.158,0.541,147.199,199453
137,55,0.52,0.49,2,-12.828,1,0.0286,0.413,0,0.121,0.76,117.755,318929
138,76,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000
139,62,0.651,0.466,6,-9.403,1,0.0305,0.541,0.0027,0.116,0.326,86.953,206893
140,61,0.679,0.575,1,-8.037,1,0.0715,0.634,0,0.165,0.79,102.588,219907
141,51,0.748,0.746,1,-9.721,1,0.111,0.281,3.31E-05,0.632,0.709,123.144,296907
142,77,0.765,0.29,4,-17.117,0,0.139,0.0279,0,0.571,0.506,92.409,298773
143,68,0.466,0.763,11,-7.748,0,0.0391,0.0542,0,0.119,0.473,123.539,204800
144,82,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,231827
145,69,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77E-06,0.659,0.869,133.849,253733
146,56,0.553,0.839,0,-5.844,0,0.116,0.153,6.00E-05,0.13,0.673,121.819,217733
147,75,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91E-05,0.158,0.848,114.031,220627
148,82,0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,216933
149,70,0.797,0.779,7,-4.719,0,0.141,0.319,0.000142,0.266,0.82,82.37,260080
150,44,0.651,0.91,1,-3.834,0,0.2,0.253,0,0.472,0.654,96.792,232027
151,57,0.617,0.421,0,-14.231,1,0.0318,0.541,0.00227,0.125,0.39,131.653,224186
152,61,0.536,0.696,4,-6.818,0,0.0365,0.134,3.17E-06,0.287,0.683,117.179,214027
153,51,0.588,0.708,6,-7.823,1,0.0351,0.445,3.94E-05,0.293,0.579,131.197,178376
154,58,0.694,0.295,9,-8.672,1,0.0611,0.843,1.42E-06,0.0856,0.729,93.577,127960
155,87,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,199054
156,68,0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,233173
157,71,0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378,354774
158,70,0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,223867
159,47,0.477,0.895,0,-6.63,1,0.0586,0.723,0,0.791,0.963,167.201,143307
160,58,0.502,0.772,0,-6.205,1,0.0322,0.595,2.47E-06,0.199,0.935,79.463,165613
161,46,0.692,0.694,9,-6.398,1,0.0369,0.132,5.88E-06,0.0855,0.832,102.769,240560
162,62,0.866,0.73,5,-8.201,1,0.0767,0.137,0,0.0843,0.625,118.523,379267
163,78,0.429,0.631,4,-11.514,0,0.0769,7.85E-05,0.00411,0.175,0.376,162.734,168440
164,77,0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,239027
165,64,0.523,0.341,4,-14.034,1,0.0388,0.313,0.000114,0.621,0.355,77.487,313373
166,61,0.791,0.801,4,-6.344,0,0.07,0.00531,0.189,0.509,0.609,124.985,196110
167,38,0.603,0.44,7,-13.284,1,0.0328,0.392,0.000144,0.578,0.671,128.021,248160
168,66,0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,419640
169,81,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987
170,66,0.785,0.776,2,-5.259,1,0.0312,0.729,0,0.181,0.967,121.505,148040
171,70,0.765,0.671,9,-5.249,0,0.278,0.344,0,0.0506,0.798,84.5,249867
172,80,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172,295177
173,81,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307
174,63,0.769,0.781,0,-5.472,1,0.0797,0.119,0.000371,0.0506,0.826,95.02,269973
175,52,0.474,0.807,2,-3.635,1,0.035,0.000938,0.0121,0.154,0.302,138.913,284640
176,65,0.383,0.97,9,-5.638,1,0.0435,0.0276,0,0.0942,0.62,101.603,313926
177,60,0.415,0.931,5,-4.988,1,0.126,0.407,0.000501,0.114,0.339,97.953,456893
178,67,0.534,0.462,4,-8.172,1,0.0266,0.839,0,0.129,0.534,96.195,143333
179,53,0.473,0.158,7,-12.9,1,0.0332,0.984,2.19E-06,0.113,0.329,98.008,225973
180,76,0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,277477
181,75,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21E-06,0.371,0.761,91.519,284907
182,82,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489
183,55,0.563,0.542,9,-10.862,1,0.0962,0.706,3.59E-05,0.355,0.785,133.285,181000
184,49,0.59,0.484,9,-10.424,1,0.0339,0.321,0,0.0625,0.652,93.428,451133
185,53,0.423,0.55,0,-8.738,1,0.0975,0.708,0,0.682,0.313,119.702,171333
186,54,0.37,0.586,5,-13.468,0,0.0581,0.485,1.96E-06,0.348,0.519,121.573,462867
187,61,0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,188560
188,60,0.593,0.607,1,-9.886,1,0.0283,0.147,0,0.128,0.953,128.365,181800
189,40,0.261,0.604,6,-10.634,1,0.0844,0.0654,0.145,0.066,0.508,69.606,720186
190,83,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376
191,71,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16E-05,0.0905,0.44,124.618,429760
192,78,0.527,0.415,4,-11.451,0,0.122,0.457,1.72E-05,0.117,0.515,78.169,125093
193,37,0.635,0.805,1,-4.776,1,0.0268,0.0581,0,0.191,0.744,120.384,200093
194,75,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,177466
195,63,0.721,0.567,10,-9.516,1,0.0389,0.221,0,0.465,0.914,116.643,167067
196,84,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920
197,41,0.878,0.611,1,-12.221,1,0.118,0.0559,0.838,0.0527,0.718,107.65,397373
198,79,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400
199,70,0.5,0.185,7,-20.242,1,0.0535,0.728,0.000746,0.273,0.293,121.002,304200
200,71,0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,324423
201,50,0.603,0.814,8,-11.51,1,0.048,0.0462,0.0265,0.0509,0.486,92.24,412033
202,63,0.733,0.399,10,-12.086,0,0.094,0.59,0.0254,0.0766,0.9,173.781,144867
203,50,0.299,0.584,5,-5.984,1,0.0334,0.374,0.126,0.073,0.183,133.712,575653
204,59,0.385,0.657,5,-6.975,1,0.0342,0.724,0,0.105,0.672,124.895,153867
205,61,0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,157333
206,66,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400
207,44,0.629,0.51,2,-10.625,1,0.0317,0.00691,0,0.379,0.964,105.173,197827
208,68,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,210107
209,70,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,251573
210,77,0.446,0.239,0,-13.945,1,0.0316,0.551,4.10E-06,0.0697,0.298,189.507,336453
211,82,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,250373
212,55,0.475,0.429,4,-10.577,1,0.0367,0.311,0,0.376,0.34,108.034,236653
213,35,0.846,0.952,1,-5.966,1,0.111,0.136,0,0.338,0.841,105.411,562227
214,80,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173
215,81,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400
216,76,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333
217,64,0.409,0.172,6,-16.44,0,0.0389,0.922,0.00112,0.111,0.352,132.151,229293
218,51,0.288,0.316,0,-8.06,1,0.0286,0.861,0,0.188,0.201,130.939,215120
219,69,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587
220,56,0.592,0.77,1,-3.402,1,0.318,0.122,1.22E-06,0.103,0.361,191.692,264760
221,54,0.633,0.385,9,-9.967,1,0.0358,0.411,8.72E-05,0.095,0.647,113.956,182053
222,75,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32E-05,0.172,0.324,74.807,264067
223,32,0.629,0.713,8,-4.642,1,0.037,0.624,0,0.059,0.982,146.265,176213
224,54,0.809,0.701,0,-12.484,1,0.0574,0.176,0,0.184,0.563,105.696,149013
225,65,0.266,0.831,4,-9.07,1,0.0453,0.000862,0,0.0555,0.778,175.514,163693
226,37,0.341,0.161,5,-12.324,1,0.0326,0.936,0.000488,0.12,0.0961,134.75,173267
227,63,0.822,0.457,6,-10.937,1,0.235,0.214,0.000397,0.0766,0.73,99.16,307063
228,72,0.476,0.381,5,-10.238,0,0.0342,0.727,0,0.0614,0.33,121.948,286920
229,74,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720
230,68,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,248947
231,63,0.546,0.724,10,-8.639,0,0.0427,0.000273,0.667,0.133,0.586,89.991,373307
232,73,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,218013
233,60,0.489,0.866,10,-7.433,1,0.0933,0.753,0,0.876,0.416,138.63,268560
234,74,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22E-05,0.0888,0.299,121.845,277387
235,42,0.802,0.581,1,-11.424,1,0.0435,0.0178,0.872,0.0924,0.454,131.983,152832
236,38,0.264,0.953,9,-7.531,1,0.098,0.00391,0.012,0.179,0.316,150.795,223187
237,68,0.539,0.599,3,-10.638,1,0.0483,0.0375,0,0.0754,0.636,167.7,290933
238,58,0.624,0.257,5,-13.341,1,0.0444,0.93,7.56E-05,0.138,0.681,85.617,183667
239,48,0.383,0.208,0,-16.035,1,0.03,0.818,3.36E-05,0.189,0.219,84.699,225133
240,59,0.85,0.669,10,-9.562,1,0.0379,0.238,0.0855,0.108,0.91,126.624,300693
241,62,0.797,0.574,10,-7.268,1,0.373,0.229,0,0.0602,0.814,78.183,197573
242,73,0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,187013
243,57,0.558,0.677,11,-12.38,0,0.207,0.535,0,0.101,0.96,180.685,185879
244,63,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,163053
245,74,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,515387
246,42,0.602,0.47,9,-9.333,1,0.0287,0.884,0.341,0.163,0.633,137.163,182640
247,62,0.612,0.444,0,-12.752,1,0.0293,0.531,0,0.126,0.503,114.961,172907
248,60,0.626,0.04,4,-19.994,1,0.0405,0.928,0.00178,0.11,0.418,117.136,138600
249,61,0.702,0.735,7,-10.458,0,0.0465,0.243,0.117,0.474,0.687,105.177,346667
